N,N°ENREGISTREMENT,CODE,DENOMINATION COMMUNE INTERNATIONALE,NOM DE MARQUE,FORME,DOSAGE,CONDITIONNEMENT,LISTE,P1,P2,OBS,LABORATOIRES DETENTEUR DE LA DECISION D'ENREGISTREMENT,PAYS DU LABORATOIRE DETENTEUR DE LA DECISION D'ENREGISTREMENT,DATE D'ENREGISTREMENT INITIAL,DATE D'ENREGISTREMENT FINAL,TYPE,STATUT,DUREE DE STABILITE
96,003/01 A 053/96/17,01 A 053,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPRHOPTADINE,HEPTAGYL,SIROP,2MG/5ML (0.04%),FL/125ML,,HOP,OFF,,GROUPE SAIDAL,ALGERIE,1996-02-14 00:00:00,2020-02-14 00:00:00,GE,F,36 MOIS
97,079/01 A 053/15,01 A 053,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,HEPTAFORT,SIROP,2MG/5ML,FL/125ML,,HOP,OFF,,LAD PHARMA,ALGERIE,2015-03-03 00:00:00,2015-03-03 00:00:00,GE,F,24 MOIS
98,400/01 A 053/17,01 A 053,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,PERIAMEX,SIROP,2MG/5ML,FL/100 ML,,HOP,OFF,,KPMA BIOTIC,ALGERIE,2017-01-09 00:00:00,2017-01-09 00:00:00,GE,F,24 MOIS
99,285/01 A 053/24,01 A 053,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,PERIACTINE,SIROP,2MG/5ML,FL/125ML,,HOP,OFF,,SPA UNION PHARMACEUITIQUE CONSTANTINOISE PRODUCTION,ALGERIE,2024-03-18 00:00:00,2024-03-18 00:00:00,GE,F,24 MOIS
100,231/01 A 054/18,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,RIZINAL 5,COMPRIME PELLICULE,05 MG,B/20,LISTE II,HOP,OFF,,LABORATOIRES SALEM,ALGERIE,2018-04-22 00:00:00,2018-04-22 00:00:00,GE,F,24 MOIS
101,263/01 A 054/23,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,TYRIZAL,COMPRIME PELLICULE,05 MG,B/14 ET B/28,LISTE II,HOP,OFF,,BIOPHARM SPA,ALGERIE,2023-04-24 00:00:00,2023-04-24 00:00:00,GE,F,24 MOIS
102,293/01 A 054/15,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,XYCARE,COMPRIME PELLICULE,05 MG,B/14 ET B/28,LISTE II,HOP,OFF,,BIOCARE,ALGERIE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,F,24 MOIS
103,304/01 A 054/22,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,HISTADINE,COMPRIME PELLICULE,05 MG,B/14,LISTE II,HOP,OFF,,GEOPHARM,ALGERIE,2022-02-23 00:00:00,2022-02-23 00:00:00,GE,F,24 MOIS
104,309/01 A 054/21,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,LEVOXINE,COMPRIME PELLICULE,05 MG,B/30,LISTE II,HOP,OFF,,LABORATOIRES DE DIAGNOSTIC MAGHREBINS-LDM,ALGERIE,2021-10-03 00:00:00,2022-11-22 00:00:00,GE,F,24 MOIS
105,352/01 A 054/19,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,XYRIZINE,COMPRIME PELLICULE,05 MG,B/14,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2019-12-30 00:00:00,2022-12-01 00:00:00,GE,F,36 MOIS
106,380/01 A 054/20,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,ZYRAL,COMPRIME PELLICULE,05 MG,B/14,LISTE II,HOP,OFF,,HUPP PHARMA,ALGERIE,2021-03-28 00:00:00,2021-03-28 00:00:00,GE,F,24 MOIS
107,418/01 A 054/17,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,LEVOZEN,COMPRIME PELLICULE,05 MG,B/14 ET B/28,LISTE II,HOP,OFF,,NEOMEDIC,ALGERIE,2017-02-07 00:00:00,2017-02-07 00:00:00,GE,F,24 MOIS
108,173/01 A 054/24,01 A 054,LEVOCETIRIZINE DICHLORHYDRATE,ZOLIX,COMPRIME PELLICULE,05 MG,B/14 ET B/28,LISTE II,HOP,OFF,,EURL TABUK ALGERIE,ALGERIE,2024-03-20 00:00:00,2024-03-20 00:00:00,GE,F,24 MOIS
109,457/01 A 055/16,01 A 055,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,CIPROMINE,COMPRIME,4MG,B/30,,HOP,OFF,,SOMEDIAL,ALGERIE,2016-01-10 00:00:00,2016-01-10 00:00:00,GE,F,36 MOIS
110,268/01 A 056/17/22,01 A 056,EBASTINE,EBASTA,COMPRIME DISPERSIBLE SECABLE,10 MG,BOITE/10+BOITE/30,LISTE II,HOP,OFF,,LABORATOIRES MERINAL FABRICATION,ALGERIE,2017-06-12 00:00:00,2022-10-13 00:00:00,GE,F,36 MOIS
111,352/01 A 057/19,01 A 057,FEXOFENADINE CHLORHYDRATE,FEXODINE,SUSPENSION BUVABLE,30 MG/5 ML,FL/125ML,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2019-03-20 00:00:00,2019-03-20 00:00:00,GE,F,24 MOIS
112,263/01 A 058/23,01 A 058,DICHLORBYDRATE DE LEVOCETIRIZINE,TYRIZAL,SOLUTION BUVABLE,0.5 MG/ML,FLACON DE 200ML,LISTE II,HOP,OFF,,BIOPHARM SPA,ALGERIE,2023-06-22 00:00:00,2023-06-22 00:00:00,GE,F,24 MOIS
113,352/01 A 058/20,01 A 058,LEVOCETIRIZINE DICHLORHYDRATE,XYRIZINE,SOL. BUVABLE,2.5 MG/5 ML,FLACON DE 200ML,LISTE II,HOP,OFF,,EL KENDI,ALGERIE,2020-12-16 00:00:00,2022-12-01 00:00:00,GE,F,24 MOIS
114,001/01 A 059/24,01 A 059,BILASTINE,BILAXTEN,COMPRIME ORODISPERSIBLE,10MG,B/10 ET B/20,LISTE II,HOP,OFF,,HIKMA PHARMA ALGERIE,ALGERIE,2024-03-21 00:00:00,2024-03-21 00:00:00,GE,F,24 MOIS
115,130/01 D 029/00/14,01 D 029,EXTRAITS ALLERGENIQUES DERMATOPHAGOIDES PTERONYSSINUS,ALUSTAL,SUSPENSION INJECTABLE,"0,1IR/ML+1IR/ML+10IR/ML",B/03FL.,,HOP,OFF,,STALLERGENES S.A.,FRANCE,2000-03-19 00:00:00,2014-09-01 00:00:00,RE,I,12 MOIS
116,130/01 D 030/00/14,01 D 030,EXTRAITS ALLERGENIQUS DERMATOPHAGOIDES PTERONYSSINUS,ALUSTAL,SUSPENSION INJECTABLE,10IR/ML,B/01 FL.,,HOP,OFF,,STALLERGENES S.A.,FRANCE,2000-03-19 00:00:00,2014-09-01 00:00:00,RE,I,12 MOIS
117,130/01 D 037/00/14,01 D 037,EXTRAITS ALLERGENIQUES MELANGE DE 5 GRAMINES,ALUSTAL,SUSPENSION INJECTABLE,"0,1IR/ML+1IR/ML+10IR/ML",B/03FL.,,HOP,OFF,,STALLERGENES S.A.,FRANCE,2000-03-19 00:00:00,2014-09-01 00:00:00,RE,I,12 MOIS
118,130/01 D 038/00/14,01 D 038,EXTRAITS ALLERGENIQUES MELANGE DE 5 GRAMINES,ALUSTAL,SUSPENSION INJECTABLE,10IR/ML,B/01 FL.,,HOP,OFF,,STALLERGENES S.A.,FRANCE,2000-03-19 00:00:00,2014-09-01 00:00:00,RE,I,12 MOIS
119,130/01 D 052/15,01 D 052,EXTRAITS ALLERGENIQUES DERMARTOPHAGOIDES PTERONYSSINUS/DERMATOPHAGOIDES FARINEA (50/50),STALORAL,SOLUTION SUBLINGUALE D'UN MELANGE D'EXTRAITS ALLERGENIQUE POUR IMMUNOTHERAPIE SPECIFIQUE,10+100+300 IR/ML - 300 IR/ML,COFFRET DE 03 FL. DE 10ML DE SOLUTION (10+100+300 IR/ML) - COFFRET DE 01 FL. DE 10ML DE SOLUTION (300 IR/ML),,HOP,OFF,,STALLERGENES S.A.,FRANCE,2015-06-18 00:00:00,2015-06-18 00:00:00,RE,I,36 MOIS
120,095/02 A 001/98/16,02 A 001,FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL JANSSEN,SOLUTION INJECTABLE,"0,1MG/AMP.",B/5,StupEfiants,HOP,,,JANSSEN CILAG,FRANCE,1998-04-20 00:00:00,2016-09-11 00:00:00,RE,I,36 MOIS
121,433/02 A 001/23,02 A 001,FENTANYL,FENTAGIC,SOLUTION INJECTABLE,0.05 ML/ML,BOITE DE 5 AMPDE 2ML,StupEfiants,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2023-08-02 00:00:00,2023-10-08 00:00:00,GE,F,24 MOIS
122,616/02 A 001/98/24,02 A 001,FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL PIRAMAL,SOLUTION INJECTABLE,"100UG/2ML (0,1MG/2ML)",BOITE DE 10 AMPOULES DE 2 ML EN VERRE INCOLORE DE TYPE I,LISTE I,HOP,,,PIRAMAL CRITICAL CARE B.V,HOLLAND,1998-04-20 00:00:00,2024-02-19 00:00:00,RE,I,36 MOIS
123,095/02 A 002/08/15,02 A 002,FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL JANSSEN,SOLUTION INJECTABLE,"0,05MG/ML (0,5MG/10ML)",B/10AMP. DE 10ML,StupEfiants,HOP,,,JANSSEN CILAG,FRANCE,2008-02-20 00:00:00,2015-12-29 00:00:00,RE,I,36 MOIS
124,433/02 A 002/23,02 A 002,FENTANYL CITRATE EXPRIME EN FENTANYL,FENTAGIC,SOL INJ IV OU PER,0.05MG/ML,BOITE DE 10 AMPOULES DE 10ML,StupEfiants,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2023-10-08 00:00:00,2023-10-08 00:00:00,GE,F,24 MOIS
125,616/02 A 002/98/24,02 A 002,FENTANYL CITRATE EXPRIME EN FENTANYL,FENTANYL PIRAMAL,SOLUTION INJECTABLE,"500UG/10ML (0,5MG/10ML)",BOITE DE 5 AMPOULES DE 10 ML EN VERRE INCOLORE DE TYPE I,LISTE I,HOP,,,PIRAMAL CRITICAL CARE B.V,HOLLAND,1998-04-20 00:00:00,2024-02-19 00:00:00,RE,I,36 MOIS
126,095/02 A 041/99/15,02 A 041,SUFENTANIL CITRATE EXPRIME EN SUFENTANIL,SUFENTA,SOLUTION INJECTABLE IV OU PERIDURALE,250µG/5ML,B/10AMP. DE 5ML,StupEfiants,HOP,,,JANSSEN CILAG,FRANCE,1999-06-06 00:00:00,2015-03-18 00:00:00,RE,I,36 MOIS
127,433/02 A 041/23,02 A 041,SUFENTANIL,SUFENTAGIC,SOLUTION INJECTABLE IV,0.05 MG/ML,BOITE DE 10 AMPOULES DE 5ML,StupEfiants,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2023-08-02 00:00:00,2023-08-02 00:00:00,GE,F,24 MOIS
128,616/02 A 041/19/23,02 A 041,CITRATE DE SUFENTANIL,SUFENTA FORTE,SOLUTION POUR INJECTION,250µG/5ML,BOITE DE 05 AMPOULES DE 05ML,,HOP,,,PIRMAL CRITICAL CARE B.V,HOLLAND,2019-06-06 00:00:00,2023-12-10 00:00:00,RE,I,36 MOIS
129,616/02 A 050/98/23,02 A 050,ALFENTANYL CHLORHYDRATE,RAPIFEN,SOLUTION INJECTABLE,5MG (0.5MG/ML),BOITE DE 10 AMPOULES DE 2ML,StupEfiants,HOP,,,PIRMAL CRITICAL CARE B.V,HOLLAND,1998-04-29 00:00:00,2023-12-10 00:00:00,RE,I,60 MOIS
130,616/02 A 050/98/24,02 A 050,ALFENTANYL CHLORHYDRATE,RAPIFEN,SOLUTION INJECTABLE,5MG (0.5MG/ML),BOITE DE 5 AMPOULES DE 10ML,StupEfiants,HOP,,,PIRMAL CRITICAL CARE B.V,HOLLAND,1998-04-29 00:00:00,2024-06-13 00:00:00,RE,I,60 MOIS
131,nv/02 A 055/05/23,02 A 055,SUFENTANIL CITRATE,SUFENTA,SOL INJ IV OU PERIDURALE,5µG/ML,B/10 AMPOULES DE 2ML ET B/05 AMPOULES DE 10ML,StupEfiants,HOP,,,PIRMAL CRITICAL CARE B.V,HOLLAND,2005-09-28 00:00:00,2023-12-10 00:00:00,RE,I,36 MOIS
132,095/02 A 055/05/16,02 A 055,SUFENTANIL CITRATE EXPRIME EN SUFENTANIL,SUFENTA,SOLUTION INJECTABLE IV OU PERIDURALE,5µG/ML (10µG/2ML - 50µG/10ML),B/5AMP. DE 2ML - B/10AMP.DE 10ML,StupEfiants,HOP,,,JANSSEN CILAG,FRANCE,2005-09-28 00:00:00,2016-04-25 00:00:00,RE,I,36 MOIS
133,433/02 A 055/23,02 A 055,SUFENTANIL,SUFENTAGIC,SOLUTION INJECTABLE,0.005 MG/ML,BOITE DE 05 AMPOULES DE 2ML / BOITE DE 10 AMPOULES DE 10ML,StupEfiants,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2023-08-02 00:00:00,2023-08-02 00:00:00,GE,F,24 MOIS
134,450/02 A 062/15,02 A 062,CHLORHYDRATE DE REMIFENTANIL,REMIFENTANIL MYLAN,POUDRE POUR SOL INJ OU POUR PERF IV,2MG/FLACON,BOITE DE 10 FLACONS DE 5 ML,StupEfiants,HOP,,,MYLAN SAS,FRANCE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,I,36 MOIS
135,450/02 A 063/15,02 A 063,CHLORHYDRATE DE REMIFENTANIL,REMIFENTANIL MYLAN,POUDRE POUR SOL INJ OU POUR PERF IV,5MG/FLACON,BOITE DE 10 FLACONS DE 10 ML,StupEfiants,HOP,,,MYLAN SAS,FRANCE,2015-12-02 00:00:00,2015-12-02 00:00:00,GE,I,36 MOIS
136,449/02 B 006/17,02 B 006,HALOTHANE,HALOTHANE BP,LIQUIDE POUR INHALATION PAR VAPEUR,100% ( 498 MG/250ML),B/01 FL DE 250 ML,LISTE I,HOP,,,PIRAMAL ENTERPRISES LIMITED,INDE,2017-03-19 00:00:00,2017-03-19 00:00:00,GE,I,60 MOIS
137,298/02 B 007/12,02 B 007,ISOFLURANE,AERRANE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML - 250ML/250ML,CARTON DE 06 FL. DE 100ML ET CARTON DE 06 FL. DE 250ML,LISTE I,HOP,,,BAXTER HEALTHCARE COPORATION,USA,2012-08-26 00:00:00,2012-08-26 00:00:00,RE,I,60 MOIS
138,498/02 B 007/99/16,02 B 007,ISOFLURANE,FORENE,LIQUIDE. P. INHAL. PAR VAPEUR,100ML/100ML,B/01FL. DE 100 ML,LISTE I,HOP,,,ABBVIE,FRANCE,1999-05-04 00:00:00,2016-02-02 00:00:00,RE,I,60 MOIS
139,433/02 B 009/20,02 B 009,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,KETARAZ,SOLUTION INJECTABLE IV /IM,50MG/ML,B/10 AMPS et 50 AMPS,LISTE I,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2020-04-14 00:00:00,2023-03-29 00:00:00,GE,F,24 MOIS
140,332/02 B 011/08/23,02 B 011,PROPOFOL,PROPOFOL FRESENIUS 1%,EMULSION INJ. IV ET POUR PERF.IV,1% (OU 10MG/ML) ( OU 200MG/20ML),B/5AMP./20ML (200MG/20ML),LISTE I,HOP,,,FRESENIUS KABI,FRANCE,2008-02-20 00:00:00,2023-07-17 00:00:00,GE,I,36 MOIS
141,352/02 B 011/07/18,02 B 011,PROPOFOL,PROVIVE,EMULSION IV PERF.,1% (OU 10MG/ML),B/05 FL DE 20ML,LISTE I,HOP,,,EL KENDI,ALGERIE,2007-11-04 00:00:00,2018-02-15 00:00:00,GE,I,24 MOIS
142,542/02 B 012/18,02 B 012,THIOPENTAL SODIQUE ET CARBONATE DE SODIUM EXPRIME EN THIOPENTAL SODIUM,"THIOPENTAL VUAB INJ.PLV.SOL.0,5 G",POUDRE POUR SOLUTION INJECTABLE,"0,5G",B/01FL,LISTE II,HOP,,,VUAB PHARMA A.S.,REPUBLIQUE TCHEQUE,2018-04-18 00:00:00,2018-04-18 00:00:00,GE,I,36 MOIS
143,542/02 B 013/18,02 B 013,THIOPENTAL SODIQUE ET CARBONATE DE SODIUM EXPRIME EN THIOPENTAL SODIUM,THIOPENTAL VUAB INJ.PLV.SOL.1.0 G,POUDRE POUR SOLUTION INJECTABLE,1G,B/01FL,LISTE II,HOP,,,VUAB PHARMA A.S.,REPUBLIQUE TCHEQUE,2018-04-18 00:00:00,2018-04-18 00:00:00,GE,I,36 MOIS
144,054/02 B 014/99/23,02 B 014,OXYGENE MEDICINAL,OXYGENE MEDICINAL GAZEUX LINDE,GAZ POUR INHALATION,PURETE ≥ 99.50%,BOUTEILLE EN ACIER DE 50L,LISTE I,HOP,,,LINDE GAS ALGERIE,ALGERIE,1999-05-12 00:00:00,2023-08-01 00:00:00,GE,F,36 MOIS
145,483/02 B 014/13/24,02 B 014,GAZ POUR UNHALATION,OXYGENE MEDICINAL LIQUIDE,OXYGENE PURETE,99.50%,RESERVOIR CRYOGENIQUE MOBILE,,HOP,,,SIDAL SPA,ALGERIE,2013-12-02 00:00:00,2024-01-25 00:00:00,GE,F,3 MOIS
146,483/02 B 014/16/24,02 B 014,GAZ POUR UNHALATION,OXYGENE MEDICINAL 200 BAR,GAZ POUR INHALATION EN BOUTEILLE,99.50%,BOUTEILLE DE 5 LITRES MUNIE DE ROBINET VIPR / BOUTEILLE DE 5 LITRES / BOUTEILLE DE 50 LITRES,,HOP,,,SIDAL SPA,ALGERIE,2016-02-22 00:00:00,2024-01-25 00:00:00,GE,F,24 MOIS
147,570/02 B 014/21,02 B 014,"OXYGÈNE MEDICINAL LIQUIDE (SOUS UNE PRESSION DE 1 À 15 BAR, DE -180° À -150°C )",OXYGENE MEDICINAL LIQUIDE CALGAZ ALLGERIE,GAZ POUR INHALATION,"PuretE ≥ 99,50 %",REcipient cryogEnique mobile de 23 530L,,HOP,,,CALGAZ ALGERIE/EURL,ALGERIE,2021-02-17 00:00:00,2021-02-17 00:00:00,GE,F,06 MOIS
148,577/02 B 014/23,02 B 014,OXYGENE MEDICINAL,OXYGENE GAZEUX,GAZ POUR INHALATION PURETE,≥99.5%,BOUTEILLE DE 50L,LISTE I,HOP,,,SARL AURES GAZ,ALGERIE,2023-10-26 00:00:00,2023-10-26 00:00:00,GE,F,24 MOIS
149,584/02 B 014/21,02 B 014,OXYGENE MEDICINAL GAZEUX,OXYGENE MEDICINAL GAZEUX,GAZ POUR INHALATION,PURETE ≥ 99.50%,BOUTEILLE B50,LISTE I,HOP,,,GAZ INDUSTRIELS SARL,ALGERIE,2021-07-17 00:00:00,2021-07-17 00:00:00,GE,F,
150,590/02 B 014/22,02 B 014,OXYGENE MEDICINAL GAZEUX,RAYNOX GOX,GAZ POUR INHALATION,PURETE ≥ 99.50%,BOUTEILLES DE B/10 ET B/50,LISTE I,HOP,,,RAYANOX,ALGERIE,2022-02-13 00:00:00,2022-02-13 00:00:00,GE,F,06 MOIS
151,054/12 B 015/99/24,02 B 015,PROTOXYDE D'AZOTE MEDICINAL,PROTOXYDE D'AZOTE,GAZ POUR INHALATION,"GAZ LIQUEFIE SOUS PRESSION ( PURETE ≥ 98,50% V/V N2O)",BOUTEILLE EN ACIER DE 30 KG,,HOP,,,LINDE GAS ALGERIE,ALGERIE,1999-05-15 00:00:00,2024-05-15 00:00:00,GE,F,06 MOIS
152,577/02 B 015/23,02 B 015,PROTOXYDE D'AZOTE MEDICINAL,PROTOXYDE D'AZOTE MEDICINAL,GAZ POUR INHALATION,(PURETE>98.00% V/V N20),GAZ LIQUEFIE SOUS PRESSION,,HOP,,,SARL AURES GAZ,ALGERIE,2023-10-08 00:00:00,2023-10-08 00:00:00,GE,F,06 MOIS
153,590/02 B 015/22,02 B 015,PROTOXYDE D'AZOTE MEDICINAL,RAYANOX N2O,GAZ POUR INHALATION,"GAZ LIQUEFIE SS UNE PRESSION DE 44 BAR A 15 °C ( PURETE ≥ 98,50% V/V N2O)",BOUTEILLE DE 50 L,,HOP,,,RAYANOX,ALGERIE,2022-05-08 00:00:00,2022-05-08 00:00:00,GE,F,06 MOIS
154,577/02 B 016/21,02 B 016,OXYGENE MEDICINAL,OXYGENE MEDICINAL,GAZ POUR INHALATION,PURETE ≥ 99.95%,"CITERNES DE 10,000 L",LISTE I,HOP,,,SARL AURES GAZ,ALGERIE,2021-07-13 00:00:00,2021-07-13 00:00:00,GE,F,
155,585/02 B 016/21,02 B 016,OXYGENE MEDICINAL LIQUIDE,OXYGENE MEDICINAL LIQUIDE,GAZ POUR INHALATION,PURETE ≥ 99.50%,RECIPIENT CRYOGENIQUE MOBILE DE 20000L,LISTE I,HOP,,,GI/LINDE-ALGERIE,ALGERIE,2021-07-17 00:00:00,2021-07-17 00:00:00,GE,F,
156,054/02 B 016/99/24,02 B 016,OXYGENE MEDICINAL LIQUIDE,OXYGENE MEDICINAL LIQUIDE LINDE GAS ALGERIE,GAZ POUR INHALATION EN RECIPIENT CRYOGENIQUE MOBILE SOUS UNE PRESSION DE 1 A 15 BAR DE -180° A -150°,PURETE ≥ 99.5%,"CITERNES DE 7000L, 12000L, 26000L",,HOP,,,LINDE GAZ ALGERIE,ALGERIE,1999-12-27 00:00:00,2024-05-29 00:00:00,GE,F,03 MOIS
157,298/02 B 057/16,02 B 057,SEVOFLURANE,SEVOFLURANE USP,LIQUIDE P. INHAL. PAR VAPEUR,100 ML/100 ML,CARTON DE 06 FL. DE 250ML,LISTE I,HOP,,,BAXTER HEALTHCARE COPORATION,USA,2016-01-25 00:00:00,2016-01-25 00:00:00,GE,I,36 MOIS
158,498/02 B 057/05/16,02 B 057,SEVOFLURANE,SEVORANE,LIQUIDE P. INHAL. PAR VAPEUR,100 ML/100 ML,FL/250ML AVEC SYSTÈME DE FERMETURE FIXE QUIK-FIL,LISTE I,HOP,,,ABBVIE,FRANCE,2005-11-09 00:00:00,2016-05-24 00:00:00,RE,I,36 MOIS
159,499/02 B 057/21,02 B 057,SEVOFLURANE,SOJOURN,LIQUIDE POUR INHALATION PAR VAPEUR,100 ML/100 ML,BOITE DE 1 FLACON DE 250 ML,LISTE I,HOP,,,"PIRAMAL CRITICAL CARE,INC",USA,2021-06-09 00:00:00,2021-06-09 00:00:00,GE,I,36 MOIS
160,601/02 B 057/23,02 B 057,SEVOFLURANE,SEVOFLURELLE,LIQUIDE POUR INHALATION PAR VAPEUR,100 ML/100 ML,BOITE DE 1 FLACON DE 250 ML,LISTE I,HOP,,,CHANELLE MEDICAL UNLIMITED COMPANY,IRLANDE,2023-10-31 00:00:00,2023-10-31 00:00:00,GE,I,48 MOIS
161,095/02 B 058/08/19,02 B 058,ETOMIDATE,HYPNOMIDATE,SOLUTION INJECTABLE IV,2MG/ML,B/05 AMP. DE 10ML,LISTE I,HOP,,,PIRAMAL CRITICAL CARE LTD,ROYAUME-UNI,2008-12-23 00:00:00,2019-12-03 00:00:00,RE,I,36 MOIS
162,005/02 B 061/14,02 B 061,SUGAMMADEX SODIQUE EXPRIME EN SUGAMMADEX,BRIDION,SOLUTION INJECTABLE IV,100MG/ML (200MG/2ML) (500MG/5ML),B/10 FL DE 2ML ET B/10 FL DE 5ML,LISTE I,HOP,,,ORGANON N.V.,PAYS BAS,2014-10-01 00:00:00,2014-10-01 00:00:00,RE,I,36 MOIS
163,467/02 B 064/15,02 B 064,PROPOFOL,DIPRIVAN,EMULSION INJECTABLE IV EN SURINGUE PrE-remplie,10MG/ML,B/1 SERINGUE PRE REMPLIE DE 50 ML,LISTE I,HOP,,,ASPEN PHARMA SCHWEIZ GMBH,SUISSE,2015-12-27 00:00:00,2015-12-27 00:00:00,RE,I,24 MOIS
164,256/02 B 065/15,02 B 065,PROPOFOL,DIPRIVAN,EMULSION INJECTABLE EN SURINGUE PrE-remplie,20mg/ml,B/1 DE 50 ML,LISTE I,HOP,,,ASPEN PHARMA SCHWEIZ GMBH,ROYAUME-UNI,2015-12-27 00:00:00,2015-12-27 00:00:00,RE,I,24 MOIS
165,332/02 B 067/23,02 B 067,PROPOFOL,PROPOFOL KABI,EMULSION INJ IV ET POUR PERFUSION,1%(10MG/ML),BOITE DE 05 AMPOULES,LISTE I,HOP,,,FRESENIUS KABI,FRANCE,2023-07-17 00:00:00,2023-07-17 00:00:00,RE,I,36 MOIS
166,590/02 B 067/23,02 B 067,PROTOXYLE D'AZOTE / OXYGENE MEDICINAL,TITINOX,GAZ POUR INHALATION,50.00+2.5% V/V N20,BOUTEILLE DE 10L,LISTE I,HOP,,,RAYANOX,ALGERIE,2023-04-11 00:00:00,2023-04-11 00:00:00,GE,F,06 MOIS
167,433/02 C 016/19/24,02 C 016,BUPIVACAINE HYDROCHLORIDE EXPRIME EN BUPIVACAINE HYDROCHLORIDE ANHYDRE,BUPIVACAINE RAZES,SOLUTION INJECTABLE SAUF IV,"0,5 % ( 20MG/4ML)",B/10 AMPOULES ET B/50 AMPOULES,LISTE II,HOP,,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2019-06-12 00:00:00,2024-06-12 00:00:00,GE,F,36 MOIS
168,023/02 C 018/96/15,02 C 018,LIDOCAINE CHLORHYDRATE,UNICAINE 1%,SOLUTION INJECTABLE,"0,01",B/50 AMP. DE 10ML,LISTE II,HOP,,,UNIMED,TUNISIE,1996-10-27 00:00:00,2015-07-30 00:00:00,GE,I,24 MOIS
169,433/02 C 018/19/24,02 C 018,CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES 1%,"SOLUTION INJECTABLE IV, IM ,SC OU PERIDURALE",100MG/10ML,BOITE DE 10 AMPOULES/BOITE DE 50 AMPOULES,LISTE II,HOP,OFF,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2019-03-20 00:00:00,2024-03-21 00:00:00,GE,F,36 MOIS
170,321/02 C 019/23,02 C 019,LIDOCAINE CHLORHYDRATE ANHYDRE,VITACAINE 2%,SOL INJ A USAGE DENTAIRE,20 MG/ML,BOITE DE 50 CARTOUHES DE 1.8ML,LISTE II,HOP,,,BIOLOGIE ET VITAMINE D'ALGERIE BIOVITAL,ALGERIE,2023-10-01 00:00:00,2023-10-01 00:00:00,GE,F,30 MOIS
171,380/02 C 019/21,02 C 019,LIDOCAINE CHLORHYDRATE,XYCAINE,SOLUTION INJECTABLE,"0,02",BOITE DE 10 AMPOULES DE 5 ML,LISTE II,HOP,,,HUPP PHARMA,ALGERIE,2021-06-22 00:00:00,2021-06-22 00:00:00,GE,F,24 MOIS
172,433/02 C 019/19/24,02 C 019,CHLORHYDRATE DE LIDOCAINE,LIDOCAINE RAZES 2%,"SOLUTION INJECTABLE IV, IM ,SC OU PERIDURALE",200MG/10ML,BOITE DE 10 AMPOULES/BOITE DE 50 AMPOULES,LISTE II,HOP,OFF,,SPA / LES LABORATOIRES FRATER RAZES,ALGERIE,2019-03-20 00:00:00,2024-03-19 00:00:00,GE,F,36 MOIS
173,321/02 C 022/23,02 C 022,LIDOCAINE CHLORHYDRATE / EPINEPHRINE,EPICAINE,SOL INJ A USAGE DENTAIRE,1ML CONTIENT 24.64MG LIDO../ 0.0125MG EPIN,,LISTE I,HOP,,,BIOLOGIE ET VITAMINE D'ALGERIE BIOVITAL,ALGERIE,2023-10-01 00:00:00,2023-10-01 00:00:00,GE,F,30 MOIS
174,231/02 C 027/21,02 C 027,LIDOCAÏNE CHLORHYDRATE EXPRIME EN CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,LIDOCAINE LS,Gel ORAL,2% ( 2G/100G DE GEL),T/100G,LISTE II,HOP,,,LABORATOIRES SALEM,ALGERIE,2021-02-04 00:00:00,2021-02-04 00:00:00,GE,F,24 MOIS
